x	y	Presence
13.404007	52.453918	1
-16.9282	65.6498	1
40.135002	49.370185	1
-8.9256585	39.7846152	1
23.64325	37.93141	1
-3.175519	55.850078	1
8.900758	39.166682	1
27.958295	49.501119	1
7.713222	63.078625	1
0.26787	45.65841	1
16.81889	60.72917	1
15.80826	44.249611	1
4.855	53.074	1
-10.518338	52.102989	1
21.58333	53.79168	1
-1.57355	37.79498	1
8.58174	46.653	1
9.41189	57.155697	1
34.177	50.749	1
-5.08601	48.46073	1
-8.567326	57.813255	1
28.459564	43.815964	1
20.12468	47.72573	1
-0.302798	51.268344	1
-4.6549	43.150002	1
4.75838	43.40234	1
-0.98333	60.33333	1
4.862239	59.307223	1
4.19703	48.24792	1
11.865496	60.989423	1
12.96	47.94	1
15.91667	56.18333	1
32.078	46.424	1
2.600029	39.62053	1
8.892059	50.976116	1
17.41667	50.95835	1
11.3167	43.5833	1
21.91056	41.61306	1
23.58334	50.37502	1
-6.44	36.99	1
-3.961499	52.01957	1
-0.08	42.09	1
12.527092	55.783933	1
25.3	44.73333	1
-5.061901	58.534278	1
-1.81301	48.35657	1
-5.29	40.021	1
-8.4465	42.90598	1
-7.635052	54.833752	1
18.61056	57.73417	1
16.32615	48.05636	1
14.0333	41.7333	1
-0.540218	54.341714	1
8.62913	42.22599	1
2.645	50.79501	1
8.016887	53.755512	1
17.98663	54.15385	1
19.09361	42.26167	1
8.880952	60.448347	1
20.5248	50.5748	1
6.027999	50.426888	1
5.87862	46.03491	1
3.0995	45.61595	1
1.14548	48.49147	1
37.43	49.17	1
10.34395	63.4376	1
2.507446	42.154033	1
14.89856	59.08105	1
7.075437	58.094508	1
-2.818122	40.363877	1
12	58.5	1
15.75	53.12502	1
23.8802	52.7631	1
31.803	51.046	1
-8.169507	52.431966	1
10.6667	54.3167	1
1.489543	52.861146	1
-3.91666	38.03328	1
-0.17	39.76	1
-2.26	42.89	1
-5.4665	56.188936	1
7.214	44.05543	1
7.80387	48.94638	1
11.46055	46.29017	1
5.700116	61.369014	1
-1.825903	57.616362	1
-4.761321	54.089669	1
13.84087	45.182621	1
-6.48	42	1
-2.445646	50.515435	1
-2.560972	53.630211	1
20.83	39.8	1
1.57107	44.03152	1
17.95432	46.77266	1
-10.196069	54.131548	1
23.89667	41.26067	1
-3.178581	59.057115	1
6.68	52.34	1
29.464566	48.29889	1
6.17541	47.93832	1
-5.023855	50.355553	1
-1.48356	46.38141	1
10.196552	59.11421	1
15.08333	51.37502	1
19.08333	51.79168	1
29.580477	45.281573	1
35.94	50.2	1
-3.46438	47.63722	1
-1.08794	44.25493	1
4.416667	51.216667	1
1.75414	46.8084	1
14.19387	56.61148	1
-6.747052	57.405748	1
16.06782	45.94384	1
-0.36659	49.25631	1
8.279063	55.896484	1
-1.774961	52.134586	1
22.43473	49.13654	1
17.56373	59.23045	1
19.2395	49.54866	1
-0.03767	47.36181	1
-3.953849	57.340819	1
8.612562	58.626241	1
10.521126	55.979061	1
39.357974	47.95886	1
3.18365	44.01163	1
10.1	52.816667	1
2.70597	48.82004	1
14.13	46.73	1
-1.52	41.46	1
-7.75	41.0749	1
4.149798	39.874792	1
4.37015	46.53682	1
20.75	52.12502	1
23.08333	54.20835	1
4.50088	44.94718	1
-0.147019	52.808071	1
1.32414	50.01909	1
7.550457	59.732399	1
4.6192	49.7328	1
10.395197	61.192238	1
17.10085	52.54688	1
7.14394	46.79328	1
0.15632	43.52128	1
14.76944	55.29306	1
10.08771	46.71794	1
14.35	48.266666	1
-1.806164	54.992931	1
3.06624	47.35531	1
6.16142	43.10038	1
11.55	48.1	1
12.70524	59.8607	1
15.40668	60.37297	1
-5.310863	51.737504	1
6.041251	59.999084	1
5.99764	44.68103	1
20.23259	53.69098	1
-1.49817	39.53725	1
6.505384	62.486399	1
18.91667	53.12502	1
22.91667	51.54168	1
7.558969	51.342985	1
9.2865	47.7744	1
1.005374	51.323007	1
6.52224	49.21578	1
-6.57	40.23	1
16.75	54.54168	1
1.26296	42.77391	1
32.941	51.628	1
11.173308	59.920035	1
4.707909	60.591849	1
16.28856	50.39886	1
-1.325304	53.359969	1
-3.687808	50.640303	1
16.17	43.06	1
-1.6076	49.57925	1
1.85998	45.57921	1
12.59	46.78	1
-3.875257	53.257235	1
3.41088	49.8535	1
7.04561	45.29195	1
12.79824	56.96283	1
-2.97924	48.73858	1
-5.508582	57.391096	1
5.55	51.6	1
18.94949	47.83991	1
-1.08	42.9	1
14.58333	53.29168	1
-4.3317	55.950433	1
5.811866	58.64571	1
-0.52	38.66	1
28.313374	48.360262	1
-8.606309	54.22192	1
-6.207413	58.504056	1
5.37724	47.11627	1
18.25	50.12502	1
7.766667	50.083333	1
9.44226	43.02148	1
5.40106	48.76978	1
-1.362239	50.842782	1
-2.796373	51.651088	1
14.96262	44.98045	1
8.533333	52.033333	1
-5.868483	54.229289	1
-2.467118	56.708324	1
-2.3352	47.37866	1
28.49246	45.120947	1
-0.83456	45.49777	1
21.41667	49.54168	1
-3.9	40.21	1
-3.56917	43.21577	1
